"date_",open,high,low,settlement,volume,close,spot_open,spot_high,spot_low,spot_close,spot_volume,f_long,f_long_contract_V,f_short,f_short_contract_V,f_acu_net,f_acu_contract_V,i_long,i_long_contract_V,i_short,i_short_contract_V,i_acu_net,i_acu_contract_V,d_long,d_long_contract_V,d_short,d_short_contract_V,d_acu_net,d_acu_contract_V,d_self_buy,d_self_sell,d_hedge_buy,d_hedge_sell,i_buy,i_sell,f_buy,f_sell
"1998-08-14",7275,7326,7140,7320,528,7320,7345.53,7355.15,7275.60,7348.04,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1998-08-17",7285,7285,7219,7219,308,7219,7352.28,7352.28,7248.14,7273.85,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1998-08-18",7250,7250,7165,7220,574,7220,7284.60,7284.60,7088.73,7181.59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1998-08-19",7269,7300,7260,7285,543,7285,7261.85,7322.37,7259.63,7293.40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1998-08-20",7300,7300,7253,7274,322,7274,7289.89,7311.75,7257.19,7270.84,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1998-08-21",7255,7255,7220,7225,301,7225,7268.14,7277.24,7195.05,7213.37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1998-08-24",7172,7175,6955,6955,919,6955,7128.97,7128.97,6952.01,6957.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1998-08-25",6938,6970,6844,6949,780,6949,6948.95,6948.95,6811.43,6908.33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1998-08-26",6990,7014,6790,6790,839,6790,6996.32,7017.40,6813.46,6814.33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1998-08-27",6681,6850,6651,6835,1137,6835,6706.32,6820.71,6665.95,6813.30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1998-08-28",6699,6820,6655,6695,1285,6695,6625.37,6802.95,6615.94,6723.77,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1998-08-31",6750,6756,6566,6566,922,6566,6776.15,6776.15,6547.43,6550.11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
